testes antigos
read,calib,show,process
1.16602,20.4055,0.843,26.0257
1.10347,19.7808,0.576238,25.3066
1.12317,19.6103,0.538978,23.159
1.55488,24.1289,0.634092,28.5921
1.57096,23.9675,0.762276,28.0893
1.57994,23.8674,0.756218,27.3668
1.51013,23.8567,0.681591,27.558
1.53206,24.0568,0.706043,27.9851
1.57755,23.5897,0.678511,27.6922
1.50092,0,0.66841,27.0942
1.48738,0,0.677676,27.7452
1.79536,0,1.03346,27.6502
1.6633,0,0.619354,31.6116
1.57605,0,0.657035,29.0774
1.61354,0,0.79076,27.6655
1.52121,0,0.642648,51.7027
1.50052,0,0.602228,51.5899
1.61305,0,0.910725,52.1602
1.30986,0,0.246479,53.9718
1.36774,0,0.187097,50.7097
