Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao,PIBperCapita
2010,São Paulo,Adamantina,Presidente Prudente,53275.85400000001,639090507,33797,18909.68
2010,São Paulo,Adolfo,São José do Rio Preto,1222985,61059145,3557,17165.91
2010,São Paulo,Aguaí,Campinas,38100.867999999995,549174956,32168,17072.09
2010,São Paulo,Águas da Prata,Campinas,6155.789000000001,96964454,7580,12792.14
2010,São Paulo,Águas de Lindóia,Campinas,15341.018999999998,233684077,17261,13538.27
2010,São Paulo,Águas de Santa Bárbara,Bauru,8946651,132254829,5598,23625.37
2010,São Paulo,Águas de São Pedro,Piracicaba,3791795,69351568,2703,25657.26
2010,São Paulo,Agudos,Bauru,347969.07,1736270583,34532,50280.05
2010,São Paulo,Alambari,Itapetininga,1604185,61602598,4886,12607.98
2010,São Paulo,Alfredo Marcondes,Presidente Prudente,1404524,36694112,3891,9430.51
2010,São Paulo,Altair,São José do Rio Preto,1464.4489999999998,74901588,3814,19638.59
2010,São Paulo,Altinópolis,Ribeirão Preto,11210153,255322129,15609,16357.37
2010,São Paulo,Alto Alegre,Araçatuba,1454.99,59056.46400000001,4105,14386.47
2010,São Paulo,Alumínio,Macro Metropolitana Paulista,431372.50399999996,1566535035,16845,92997.03
2010,São Paulo,Álvares Florence,São José do Rio Preto,1864055,92977573,3901,23834.29
2010,São Paulo,Álvares Machado,Presidente Prudente,24483903,236565853,23506,10064.06
2010,São Paulo,Álvaro de Carvalho,Marília,235046,30121479,4650,6477.74
2010,São Paulo,Alvinlândia,Marília,-537745,31245569,3000,10415.19
2010,São Paulo,Americana,Campinas,1218628675,7236089.94,210701,34342.93
2010,São Paulo,Américo Brasiliense,Araraquara,46621.47,459374.94299999997,34522,13306.73
2010,São Paulo,Américo de Campos,São José do Rio Preto,1895598,56280.33,5706,9863.36
2010,São Paulo,Amparo,Campinas,359247797,2465216059,65836,37444.8
2010,São Paulo,Analândia,Araraquara,2083.61,98188.26199999999,4289,22893.04
2010,São Paulo,Andradina,Araçatuba,117941037,1422125.8280000002,55317,25708.66
2010,São Paulo,Angatuba,Itapetininga,48793.712999999996,541193687,22211,24366.02
2010,São Paulo,Anhembi,Bauru,4483723,92814.40199999999,5648,16433.14
2010,São Paulo,Anhumas,Presidente Prudente,949558,40677723,3738,10882.22
2010,São Paulo,Aparecida,Vale do Paraíba Paulista,29520229,496062198,35043,14155.81
2010,São Paulo,Aparecida d'Oeste,São José do Rio Preto,3093238,54977.350999999995,4444,12371.14
2010,São Paulo,Apiaí,Itapetininga,26730.322999999997,423372.75700000004,25196,16803.17
2010,São Paulo,Araçariguama,Macro Metropolitana Paulista,228276141,1056801228,17085,61855.5
