Ano,NomeUF,NomeMunicipio,Impostos,PIB,Populacao,PIBperCapita
2011,São Paulo,Adamantina,57046593,683689223,33821,20214.93
2011,São Paulo,Adolfo,1682.8970000000002,68413951,3548,19282.4
2011,São Paulo,Aguaí,41828846,573701851,32452,
2011,São Paulo,Águas da Prata,4351.545999999999,89260069,7619,11715.46
2011,São Paulo,Águas de Lindóia,18090659,267588596,17354,15419.42
2011,São Paulo,Águas de Santa Bárbara,12003.801000000001,139132346,5630,
2011,São Paulo,Águas de São Pedro,4089.0170000000003,71429274,2771,25777.44
2011,São Paulo,Agudos,343198.87700000004,1742627417,34681,50247.32
2011,São Paulo,Alambari,1939848,61384825,4979,12328.75
2011,São Paulo,Alfredo Marcondes,1598.3329999999999,38980278,3906,9979.59
2011,São Paulo,Altair,1582.9360000000001,86738.77699999999,3837,22605.88
2011,São Paulo,Altinópolis,13851466,263715751,15617,16886.45
2011,São Paulo,Alto Alegre,1841.7820000000002,67011734,4090,16384.29
2011,São Paulo,Alumínio,410543674,1720269.4119999998,16961,101425.0
2011,São Paulo,Álvares Florence,1738315,95905538,3865,24813.85
2011,São Paulo,Álvares Machado,28868895,272412713,23579,
2011,São Paulo,Álvaro de Carvalho,421.39,40785.787000000004,4692,8692.62
2011,São Paulo,Alvinlândia,582249,29647842,3013,9839.97
2011,São Paulo,Americana,1392344302,8616510405,212791,40492.83
2011,São Paulo,Américo Brasiliense,51301808,502124165,34954,14365.28
2011,São Paulo,Américo de Campos,1943223,62468903,5715,10930.69
2011,São Paulo,Amparo,407245402,2860090.6139999996,66246,43173.79
2011,São Paulo,Analândia,2724364,108598106,4348,24976.57
2011,São Paulo,Andradina,141247048,1731488404,55348,31283.67
2011,São Paulo,Angatuba,58648612,684045485,22434,
2011,São Paulo,Anhembi,5105314,89129.76699999999,5739,15530.54
2011,São Paulo,Anhumas,958.3,36844674,3764,9788.7
2011,São Paulo,Aparecida,35167872,591020.9789999999,35015,16879.08
2011,São Paulo,Aparecida d'Oeste,3512623,60221166,4413,13646.31
2011,São Paulo,Apiaí,32419.898999999998,462392955,25040,18466.17
2011,São Paulo,Araçariguama,251666705,1197477078,17535,68290.68
2011,São Paulo,Araçatuba,520784.99600000004,4610651447,182526,25260.24
2011,São Paulo,Araçoiaba da Serra,35747018,371409.50200000004,27874,
2011,São Paulo,Aramina,4902133,82832757,5182,15984.71
2011,São Paulo,Arandu,1242.5330000000001,71285.52900000001,6128,11632.76
2011,São Paulo,Arapeí,1760.0439999999999,20751849,2484,8354.21
2011,São Paulo,Araraquara,730212.7579999999,6116560089,210673,29033.43
2011,São Paulo,Araras,472957297,3671007901,119968,30599.89
2011,São Paulo,Arco-Íris,551974,31436.31,1907,
2011,São Paulo,Arealva,4252708,120660679,7887,15298.68
2011,São Paulo,Areias,743.0010000000001,25370019,3704,6849.36
2011,São Paulo,Areiópolis,4023685,81176.36099999999,10601,7657.42
2011,São Paulo,Ariranha,129893788,489098906,8630,56674.26
2011,São Paulo,Artur Nogueira,62487083,662126497,45026,14705.43
2011,São Paulo,Arujá,379344.62,2158894588,76112,28364.71
2011,São Paulo,Aspásia,507889,19497.671000000002,1806,10796.05
2011,São Paulo,Assis,191826443,1902294279,95750,19867.3
2011,São Paulo,Atibaia,693668464,4285475741,127778,33538.45
2011,São Paulo,Auriflama,13568716,199750.69100000002,14255,14012.68
2011,São Paulo,Avaí,5460385,152772.13,4987,30634.07
2011,São Paulo,Avanhandava,8756492,154237485,11501,13410.79
2011,São Paulo,Avaré,139189115,1463351.3669999999,83430,17539.87
2011,São Paulo,Bady Bassitt,23423807,236448079,14838,15935.31
2011,São Paulo,Balbinos,559007,22771.39,3886,5859.85
2011,São Paulo,Bálsamo,9154.953000000001,135382.47699999998,8223,16463.88
