Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao
2012,São Paulo,Adamantina,Presidente Prudente,62842352,743683942,33843
2012,São Paulo,Adolfo,São José do Rio Preto,1625.33,53200.27099999999,3538
2012,São Paulo,Aguaí,Campinas,43701513,568189968,32745
2012,São Paulo,Águas da Prata,Campinas,5090.532999999999,101169.93199999999,7653
2012,São Paulo,Águas de Lindóia,Campinas,19694.793999999998,279456212,17438
2012,São Paulo,Águas de Santa Bárbara,Bauru,6039898,95592614,5658
2012,São Paulo,Águas de São Pedro,Piracicaba,4232057,81883233,2832
2012,São Paulo,Agudos,Bauru,386484657,1928539.2880000002,34833
2012,São Paulo,Alambari,Itapetininga,2273786,60504.84099999999,5071
2012,São Paulo,Alfredo Marcondes,Presidente Prudente,6209118,53292705,3921
2012,São Paulo,Altair,São José do Rio Preto,1759604,92633285,3859
2012,São Paulo,Altinópolis,Ribeirão Preto,16827985,280646809,15627
2012,São Paulo,Alto Alegre,Araçatuba,1917.1170000000002,80152992,4078
2012,São Paulo,Alumínio,Macro Metropolitana Paulista,483709.75399999996,1659873166,17079
2012,São Paulo,Álvares Florence,São José do Rio Preto,1989598,111829.75300000001,3834
2012,São Paulo,Álvares Machado,Presidente Prudente,33717503,314146275,23642
2012,São Paulo,Álvaro de Carvalho,Marília,655033,37634491,4732
2012,São Paulo,Alvinlândia,Marília,781927,34570.751000000004,3025
2012,São Paulo,Americana,Campinas,1433753.9640000002,8758084098,214873
2012,São Paulo,Américo Brasiliense,Araraquara,54048526,538860619,35413
2012,São Paulo,Américo de Campos,São José do Rio Preto,1829.5739999999998,63071858,5723
2012,São Paulo,Amparo,Campinas,458032492,3014108.8389999997,66649
2012,São Paulo,Analândia,Araraquara,2777.54,110803.12199999999,4401
2012,São Paulo,Andradina,Araçatuba,154960219,1861978496,55361
2012,São Paulo,Angatuba,Itapetininga,62813657,624706514,22650
2012,São Paulo,Anhembi,Bauru,5430515,102812587,5822
2012,São Paulo,Anhumas,Presidente Prudente,1141238,53032.594000000005,3788
2012,São Paulo,Aparecida,Vale do Paraíba Paulista,40872634,667000693,35023
2012,São Paulo,Aparecida d'Oeste,São José do Rio Preto,3446063,60869.282999999996,4377
2012,São Paulo,Apiaí,Itapetininga,43276.085999999996,489004347,24894
2012,São Paulo,Araçariguama,Macro Metropolitana Paulista,282402518,1308235.99,17975
2012,São Paulo,Araçatuba,Araçatuba,603472588,5423054.63,183441
